"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","0","prime",11,"GMT/CI",5.98,4.01,8.92,"Table 4, Supplemental Table 5",0.776701183988411,1.69460519893357,0.293775524875229,0.573993582164651,0.0885766535091686,0.0671808673397672,-0.917904014945158,0.120808080808081,0.0478327985137209,0.111171455344466,0.286243683355173,0.0647136470511056,-1.13580006742031,-0.700007962470003
"2",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle-Free)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","0","prime",12,"GMT/CI",8.88,4.52,17.48,"Table 4, Supplemental Table 5",0.948412965778601,1.69460519893357,0.519087667978336,0.573993582164651,0.149847702420154,0.0671808673397672,-0.746192233154968,0.179393939393939,0.0478327985137209,0.164218156295588,0.507720302881096,0.110012491619349,-1.06805981949432,-0.424324646815614
"3",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"2",1,"18-55","adult","0","prime",10,"GMT/CI",5,5,5,"Table 4, Supplemental Table 5",0.698970004336019,1.69460519893357,0.44734451237116,0.573993582164651,0.141462755787024,0.0671808673397672,-0.99563519459755,0.101010101010101,0.0478327985137209,0.156604534453452,0.431511039572622,0.101225993069213,-1.30258008212632,-0.688690307068783
"4",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle-Free)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"2",1,"18-55","adult","0","prime",10,"GMT/CI",5,5,5,"Table 4, Supplemental Table 5",0.698970004336019,1.69460519893357,0.44734451237116,0.573993582164651,0.141462755787024,0.0671808673397672,-0.99563519459755,0.101010101010101,0.0478327985137209,0.156604534453452,0.437147558453781,0.103195273036427,-1.30258008212632,-0.688690307068783
"5",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","28","prime",10,"GMT/CI",6.79,4.29,10.73,"Table 4, Supplemental Table 5",0.831869774280502,1.69460519893357,0.321182885526105,0.573993582164651,0.101566946372762,0.0671808673397672,-0.862735424653067,0.137171717171717,0.0478327985137209,0.121774847698574,0.31298234350878,0.0743129127159415,-1.10141412614227,-0.624056723163862
"6",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle-Free)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","28","prime",10,"GMT/CI",11.12,4.91,25.19,"Table 4, Supplemental Table 5",1.04610478724604,1.69460519893357,0.572877797699405,0.573993582164651,0.181159866167129,0.0671808673397672,-0.64850041168753,0.224646464646465,0.0478327985137209,0.193215335949855,0.557963241100896,0.133649812883994,-1.02720247014925,-0.269798353225814
"7",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"2",1,"18-55","adult","28","prime",10,"GMT/CI",5,5,5,"Table 4, Supplemental Table 5",0.698970004336019,1.69460519893357,0.44734451237116,0.573993582164651,0.141462755787024,0.0671808673397672,-0.99563519459755,0.101010101010101,0.0478327985137209,0.156604534453452,0.436859493154883,0.103751598523187,-1.30258008212632,-0.688690307068783
"8",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle-Free)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"2",1,"18-55","adult","28","prime",10,"GMT/CI",6.06,3.93,9.34,"Table 4, Supplemental Table 5",0.782472624166286,1.69460519893357,0.303283664768846,0.573993582164651,0.0959067157792517,0.0671808673397672,-0.912132574767282,0.122424242424242,0.0478327985137209,0.117095546747456,0.296541041999171,0.0704878360978862,-1.1416398463923,-0.68262530314227
"9",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","56","prime",10,"GMT/CI",6.48,3.64,11.52,"Table 4, Supplemental Table 5",0.811575005870593,1.69460519893357,0.403634972281836,0.573993582164651,0.127640585570953,0.0671808673397672,-0.883030193062975,0.130909090909091,0.0478327985137209,0.144240729412393,0.39191590546572,0.0920178971544462,-1.16574202271127,-0.600318363414684
"10",45,"Momin et al. 2021","CTRI/2020/07/026352","ZyCoV-D (Needle-Free)","DNA based vaccine","mg","2","Gujarat, India","Day 0/28/56","Live SARS-CoV-2 virus","PRNT 50",49.5,36.7,67.3,73,"1",0.5,"18-55","adult","56","prime",10,"GMT/CI",12.99,5.6,30.16,"Table 4, Supplemental Table 5",1.11360915107303,1.69460519893357,0.589896526522008,0.573993582164651,0.186541660763147,0.0671808673397672,-0.580996047860541,0.262424242424243,0.0478327985137209,0.198270169558601,0.572012566479468,0.135659111496517,-0.969605580195399,-0.192386515525683
