"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"2",0.5,"18-50","adult","0","prime",24,"GMT/CI",2.1,2,2.3,"Appendix 4",0.322219294733919,2.29666519026153,0.0758564986506442,0.969499917363362,0.0154841429473499,0.0518414053287783,-1.97444589552761,0.0106060606060606,NA,0.0541044359482349,0.0749834821028482,0.011206878160558,-2.08049058998615,-1.86840120106907
"2",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"2",0.5,">60","elderly","0","prime",24,"GMT/CI",2.2,1.9,2.3,"Appendix 10",0.342422680822206,2.29666519026153,0.103696192707357,0.969499917363362,0.0211668967001949,0.0518414053287783,-1.95424250943932,0.0111111111111111,NA,0.055996150067477,0.102876392272543,0.015214356891374,-2.06399496357158,-1.84449005530707
"3",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"4",1,"18-50","adult","0","prime",24,"GMT/CI",2.1,2,2.3,"Appendix 4",0.322219294733919,2.29666519026153,0.0758564986506442,0.969499917363362,0.0154841429473499,0.0518414053287783,-1.97444589552761,0.0106060606060606,NA,0.0541044359482349,0.0752754095210815,0.0111739456927332,-2.08049058998615,-1.86840120106907
"4",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"4",1,">60","elderly","0","prime",24,"GMT/CI",2.5,2.1,2.9,"Appendix 10",0.397940008672038,2.29666519026153,0.175186885489493,0.969499917363362,0.0357598732563869,0.0518414053287783,-1.89872518158949,0.0126262626262626,NA,0.0629785665268395,0.173171621759727,0.0260108240142821,-2.0221631719821,-1.77528719119689
"5",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"8",2,"18-50","adult","0","prime",24,"GMT/CI",2.1,2,2.3,"Appendix 4",0.322219294733919,2.29666519026153,0.0758564986506442,0.969499917363362,0.0154841429473499,0.0518414053287783,-1.97444589552761,0.0106060606060606,NA,0.0541044359482349,0.0752829272824584,0.0111678020343445,-2.08049058998615,-1.86840120106907
"6",4,"Xia et al. 2020 Phase 1","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"8",2,">60","elderly","0","prime",24,"GMT/CI",2.3,2,2.6,"Appendix 10",0.361727836017593,2.29666519026153,0.142399526905065,0.969499917363362,0.0290671817109278,0.0518414053287783,-1.93493735424394,0.0116161616161616,NA,0.0594342692314693,0.140503051482543,0.0205358064641524,-2.05142852193762,-1.81844618655026
"7",4,"Xia et al. 2020 Phase 2","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"8",2,"18-59","adult","0","prime",84,"GMT/CI",2,2,2,"Appendix 16",0.301029995663981,2.29666519026153,0.44734451237116,0.969499917363362,0.0488092878491417,0.0518414053287783,-1.99563519459755,0.0101010101010101,NA,0.0712030749813732,0.445160688492795,0.0350054060506803,-2.13519322156104,-1.85607716763406
"8",4,"Xia et al. 2020 Phase 2","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/14","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"4",1,"18-59","adult","0","prime",84,"GMT/CI",2.1,2,2.2,"Appendix 16",0.322219294733919,2.29666519026153,0.0967781188546131,0.969499917363362,0.0105593584587309,0.0518414053287783,-1.97444589552761,0.0106060606060606,NA,0.0529058726184784,0.0965772758738366,0.00758934568228238,-2.07814140585983,-1.87075038519539
"9",4,"Xia et al. 2020 Phase 2","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 0/21","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"4",1,"18-59","adult","0","prime",84,"GMT/CI",2.1,2,2.1,"Appendix 16",0.322219294733919,2.29666519026153,0.0495416157709432,0.969499917363362,0.0054054334362087,0.0518414053287783,-1.97444589552761,0.0106060606060606,NA,0.05212245214009,0.0493591769983552,0.00379136413053071,-2.07660590172219,-1.87228588933304
"10",4,"Xia et al. 2020 Phase 2","ChiCTR2000032459","BBIBP-CorV","Inactivated vaccine","ug","4","Shangqiu, China","Day 28","Live SARS-CoV-2 virus","MNT 50",198,156.7,250.2,NA,"4",1,"18-59","adult","0","prime",84,"GMT/CI",2,2,2,"Appendix 16",0.301029995663981,2.29666519026153,0.44734451237116,0.969499917363362,0.0488092878491417,0.0518414053287783,-1.99563519459755,0.0101010101010101,NA,0.0712030749813732,0.446530158659198,0.0343118739869804,-2.13519322156104,-1.85607716763406
