"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","0","prime",15,"GMT/CI",10,10,10,"Table 2",1,2.03822263836872,0.44734451237116,0.826482067349715,0.115503856428719,0.134073095504561,-1.03822263836872,0.0915750915750916,0.0960765887935146,0.176965351942354,0.439427754143635,0.0816731365040664,-1.38507472817573,-0.691370548561704
"2",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","0","prime",15,"GMT/CI",10,10,10,"Table 2",1,2.03822263836872,0.44734451237116,0.826482067349715,0.115503856428719,0.134073095504561,-1.03822263836872,0.0915750915750916,0.0960765887935146,0.176965351942354,0.440410306770514,0.0835713327128632,-1.38507472817573,-0.691370548561704
"3",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","0","prime",15,"GMT/CI",10,10,10,"Table 2",1,2.03822263836872,0.44734451237116,0.826482067349715,0.115503856428719,0.134073095504561,-1.03822263836872,0.0915750915750916,0.0960765887935146,0.176965351942354,0.439239843040382,0.0835297045612464,-1.38507472817573,-0.691370548561704
"4",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","Live virus PRNT80",158.3,15.1,1663,3,"25",0.25,"18-55","adult","0","prime",15,"GMT/CI",4,4,4,"Table 2",0.602059991327962,2.19948091486236,0.44734451237116,0.902219655022649,0.115503856428719,0.520896760695498,-1.59742092353439,0.0252684775742262,0.451109827511324,0.533549038189526,0.437747617951592,0.0851223773473386,-2.64317703838586,-0.551664808682922
"5",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","Live virus PRNT80",158.3,15.1,1663,3,"100",1,"18-55","adult","0","prime",15,"GMT/CI",4,4,4,"Table 2",0.602059991327962,2.19948091486236,0.44734451237116,0.902219655022649,0.115503856428719,0.520896760695498,-1.59742092353439,0.0252684775742262,0.451109827511324,0.533549038189526,0.435937256530815,0.0814844526354826,-2.64317703838586,-0.551664808682922
"6",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","14","prime",15,"GMT/CI",14.5,9.8,21.4,"Table 2",1.16136800223497,2.03822263836872,0.335119465373168,0.826482067349715,0.0865274738920142,0.134073095504561,-0.876854636133744,0.132783882783883,0.0960765887935146,0.159570043166969,0.329188779489409,0.0611838461938782,-1.189611920741,-0.564097351526484
"7",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","14","prime",15,"GMT/CI",23.7,13.3,42.3,"Table 2",1.3747483460101,2.03822263836872,0.496461854345661,0.826482067349715,0.128185899593866,0.134073095504561,-0.663474292358615,0.217032967032967,0.0960765887935146,0.185491832145957,0.488766289795951,0.0927472622584496,-1.02703828336469,-0.299910301352538
"8",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","14","prime",15,"GMT/CI",26.1,14.1,48.3,"Table 2",1.41664050733828,2.03822263836872,0.528314466540005,0.826482067349715,0.136410208697993,0.134073095504561,-0.621582131030437,0.239010989010989,0.0960765887935146,0.191267718068693,0.518742841236551,0.0986486926409519,-0.996466858445077,-0.246697403615798
"9",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","28","prime",15,"GMT/CI",11.7,9.7,14.1,"Table 2",1.06818586174616,2.03822263836872,0.160498977330657,0.826482067349715,0.0414406577523304,0.134073095504561,-0.970036776622557,0.107142857142857,0.0960765887935146,0.140331475632237,0.157055788250888,0.0305403422516263,-1.24508646886174,-0.694987084383373
"10",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","28","prime",15,"GMT/CI",18.2,12.1,27.4,"Table 2",1.26007138798507,2.03822263836872,0.35070772424772,0.826482067349715,0.0905523450265148,0.134073095504561,-0.778151250383644,0.166666666666667,0.0960765887935146,0.161787892402294,0.341764700191219,0.0638819213270035,-1.09525551949214,-0.461046981275148
"11",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","28","prime",14,"GMT/CI",20.7,13.3,32.2,"Table 2",1.31597034545692,2.03822263836872,0.366533741443534,0.826482067349715,0.0979602629410064,0.134073095504561,-0.722252292911801,0.18956043956044,0.0960765887935146,0.166047607792604,0.360820268514531,0.0727980436603595,-1.0477056041853,-0.396798981638297
"12",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","36","prime",13,"GMT/CI",105.8,69.8,160.4,"Table 2",2.02448566769917,2.03822263836872,0.33236278986782,0.826482067349715,0.0921808523788223,0.134073095504561,-0.0137369706695516,0.968864468864469,0.0960765887935146,0.162704961459267,0.322504138564905,0.0679277068195507,-0.332638695129714,0.305164753790611
"13",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","36","prime",15,"GMT/CI",256.3,182,361.1,"Table 2",2.40874860618424,2.03822263836872,0.293987199380951,0.826482067349715,0.0759071684800388,0.134073095504561,0.370525967815526,2.3470695970696,0.0960765887935146,0.154069767199254,0.291491300149606,0.0557513710376941,0.0685492241049885,0.672502711526063
"14",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","36","prime",14,"GMT/CI",373.5,308.6,452.2,"Table 2",2.57229060615142,2.03822263836872,0.158385346318108,0.826482067349715,0.042330264357707,0.134073095504561,0.534067967782699,3.42032967032967,0.0960765887935146,0.14059675038481,0.156592273149076,0.0306033479034653,0.258498337028471,0.809637598536927
"15",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","42","prime",13,"GMT/CI",112.3,71.2,177.1,"Table 2",2.05037975626146,2.03822263836872,0.36399380025301,0.826482067349715,0.100953716212556,0.134073095504561,0.0121571178927393,1.02838827838828,0.0960765887935146,0.167831009516419,0.355295819684014,0.0731735667557555,-0.316791660759443,0.341105896544921
"16",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","42","prime",14,"GMT/CI",343.8,261.2,452.7,"Table 2",2.53630587235103,2.03822263836872,0.227971283085539,0.826482067349715,0.0609278882378101,0.134073095504561,0.498083233982315,3.14835164835165,0.0960765887935146,0.147267791805589,0.225809897117495,0.043336503182864,0.209438362043361,0.78672810592127
"17",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","42","prime",14,"GMT/CI",332.2,266.3,414.5,"Table 2",2.52139962811538,2.03822263836872,0.183411242460338,0.826482067349715,0.0490187164406508,0.134073095504561,0.483176989746657,3.04212454212454,0.0960765887935146,0.142753036744106,0.179278141014951,0.0359337912299826,0.203381037728209,0.762972941765106
"18",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","Live virus PRNT80",158.3,15.1,1663,3,"25",0.25,"18-55","adult","42","prime",13,"GMT/CI",339.7,184,627.1,"Table 2",2.53109554687003,2.19948091486236,0.489802163135793,0.902219655022649,0.135846678001483,0.520896760695498,0.331614632007672,2.14592545799116,0.451109827511324,0.538319380319064,0.480313340672741,0.0991709161797485,-0.723491353417693,1.38672061743304
"19",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","Live virus PRNT80",158.3,15.1,1663,3,"100",1,"18-55","adult","42","prime",14,"GMT/CI",654.3,460.1,930.5,"Table 2",2.81577692029836,2.19948091486236,0.291948682271088,0.902219655022649,0.0780265673984667,0.520896760695498,0.616296005436006,4.13329121920404,0.451109827511324,0.526708249909805,0.288831230378426,0.0572937449395435,-0.416052164387212,1.64864417525922
"20",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"25",0.25,"18-55","adult","56","prime",13,"GMT/CI",80.7,51,127.6,"Table 2",1.90687353472207,2.03822263836872,0.366331826171396,0.826482067349715,0.10160216793041,0.134073095504561,-0.131349103646648,0.739010989010989,0.0960765887935146,0.1682218638178,0.360181155491581,0.0719773393997777,-0.461063956729536,0.19836574943624
"21",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"100",1,"18-55","adult","56","prime",14,"GMT/CI",231.8,163.2,329.3,"Table 2",2.36511343162758,2.03822263836872,0.291001271800537,0.826482067349715,0.0777733612995064,0.134073095504561,0.326890793258859,2.12271062271062,0.0960765887935146,0.154997711808913,0.286760118945462,0.0569736158149573,0.0230952781133896,0.630686308404328
"22",1,"Jackson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Atlanta, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",109.2,59.6,199.9,38,"250",2.5,"18-55","adult","56","prime",14,"GMT/CI",270.2,221,330.3,"Table 2",2.43168534468601,2.03822263836872,0.166576582405878,0.826482067349715,0.0445194642873223,0.134073095504561,0.393462706317293,2.47435897435897,0.0960765887935146,0.141271290921423,0.16319274603191,0.0321477328656921,0.116570976111304,0.670354436523283
"23",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"25",0.4,"56-70","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.141462755787024,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.19018731726699,0.435092808904696,0.106299707774433,-1.39807300710807,-0.65253872342147
"24",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"25",0.4,">=71","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.141462755787024,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.19018731726699,0.436612861636241,0.105969907506038,-1.39807300710807,-0.65253872342147
"25",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"100",1,"56-70","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.141462755787024,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.19018731726699,0.430927526576414,0.102855374442798,-1.39807300710807,-0.65253872342147
"26",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"100",1,">=71","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.141462755787024,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.19018731726699,0.443087093641545,0.10558631019166,-1.39807300710807,-0.65253872342147
"27",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"100",1,"18-55","adult","0","prime",15,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.115503856428719,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.171757518683351,0.441043430247821,0.0834076445531324,-1.36195060188414,-0.688661128645402
"28",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID80",41,26,66,41,"25",0.4,"56-70","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,1.61278385671974,0.44734451237116,0.660845850772613,0.141462755787024,0.103206782543635,-0.612783856719735,0.24390243902439,0.0738848122488123,0.175109540682021,0.436430447476614,0.103674721084677,-0.955998556456497,-0.269569156982974
"29",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID80",41,26,66,41,"25",0.4,">=71","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,1.61278385671974,0.44734451237116,0.660845850772613,0.141462755787024,0.103206782543635,-0.612783856719735,0.24390243902439,0.0738848122488123,0.175109540682021,0.43731796363145,0.105314904370563,-0.955998556456497,-0.269569156982974
"30",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID80",41,26,66,41,"100",1,"56-70","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,1.61278385671974,0.44734451237116,0.660845850772613,0.141462755787024,0.103206782543635,-0.612783856719735,0.24390243902439,0.0738848122488123,0.175109540682021,0.438220002196757,0.101370766913509,-0.955998556456497,-0.269569156982974
"31",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID80",41,26,66,41,"100",1,">=71","elderly","0","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,1.61278385671974,0.44734451237116,0.660845850772613,0.141462755787024,0.103206782543635,-0.612783856719735,0.24390243902439,0.0738848122488123,0.175109540682021,0.431518276041517,0.104804599296278,-0.955998556456497,-0.269569156982974
"32",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID80",41,26,66,41,"100",1,"18-55","adult","0","prime",15,"GMT/CI",10,10,10,"Table S4, Table S5",1,1.61278385671974,0.44734451237116,0.660845850772613,0.115503856428719,0.103206782543635,-0.612783856719735,0.24390243902439,0.0738848122488123,0.154896032269763,0.440316736723119,0.0840092865963412,-0.91638007996847,-0.309187633471001
"33",2,"Anderson et al. 2020","NCT04283461","mRNA-1273","mRNA","ug","100","Seattle & Bethesda, US","Day 0/28","wild-type SARS-CoV-2","PsVNA ID50",106,60,189,41,"25",0.4,"56-70","elderly","14","prime",10,"GMT/CI",10,10,10,"Table S4, Table S5",1,2.02530586526477,0.44734451237116,0.813965404270096,0.141462755787024,0.127120039232041,-1.02530586526477,0.0943396226415094,0.0910040987640516,0.19018731726699,0.438811850177197,0.106467363554636,-1.39807300710807,-0.65253872342147
