study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
4,Xia et al. 2020 Phase 2,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,18-59,adult,28,prime,84,GMT/CI,169.5,132.2,217.2,Appendix 18,2.229169703,2.29666519,0.504149647,NA,0.055007236,0.051841405,-0.067495488,0.856060606,0.504014735,0.038923727,-0.172588494,0.037824846
4,Xia et al. 2020 Phase 2,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,18-59,adult,28,prime,84,GMT/CI,282.7,221.2,361.4,Appendix 18,2.451325808,2.29666519,0.498479083,NA,0.054388527,0.051841405,0.154660618,1.427777778,0.496960071,0.038038566,0.049024815,0.262452524
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,2,0.5,18-50,adult,42,prime,24,GMT/CI,87.7,64.9,118.6,Appendix 9,1.942999593,2.29666519,0.327231824,NA,0.066795916,0.051841405,-0.353665597,0.442929293,0.321652832,0.047706713,-0.486810187,-0.227274295
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,2,0.5,> 60,elderly,42,prime,24,GMT/CI,80.7,65.4,99.6,Appendix 15,1.906873535,2.29666519,0.228304429,NA,0.046602446,0.051841405,-0.389791656,0.407575758,0.224721869,0.033491436,-0.481842573,-0.297359947
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,18-50,adult,42,prime,24,GMT/CI,211.2,159,280.6,Appendix 9,2.324693914,2.29666519,0.308298956,NA,0.062931261,0.051841405,0.028028724,1.066666667,0.30487696,0.044072148,-0.098518707,0.155176931
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,> 60,elderly,42,prime,24,GMT/CI,131.5,108.2,159.7,Appendix 15,2.118925753,2.29666519,0.211303052,NA,0.043132055,0.051841405,-0.177739437,0.664141414,0.209253354,0.030252948,-0.260614545,-0.093361385
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,8,2,18-50,adult,42,prime,24,GMT/CI,228.7,186.1,281.1,Appendix 9,2.359266165,2.29666519,0.223846461,NA,0.045692467,0.051841405,0.062600974,1.155050505,0.220178564,0.031973765,-0.029389156,0.154033218
4,Xia et al. 2020 Phase 1,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,8,2,> 60,elderly,42,prime,24,GMT/CI,170.9,133,219.5,Appendix 15,2.232742063,2.29666519,0.27192196,NA,0.055505838,0.051841405,-0.063923128,0.863131313,0.270608821,0.039296463,-0.172477189,0.044057938
6,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6,India,Day 0/28,Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,3,0.5,Dec-65,adult,56,prime,190,GMT/CI,100.9,74.1,137.4,Table S2,2.003891166,2.33405144,0.942971433,1.196195966,0.068410338,0.169167656,-0.330160274,0.467562558,0.941984119,0.048159051,-0.465610222,-0.19078215
6,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6,India,Day 0/28,Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,6,1,Dec-65,adult,56,prime,190,GMT/CI,197,155.6,249.4,Table S2,2.294466226,2.33405144,0.720451637,1.196195966,0.052267055,0.169167656,-0.039585214,0.912882298,0.718911866,0.037611562,-0.142810811,0.060462807
6,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6,India,Day 0/28,Live SARS-CoV-2 virus,MNT 50,36.4,18.4,72.1,50,3,0.5,Dec-65,adult,56,prime,190,GMT/CI,92.5,77.7,110.2,Table S2,1.966141733,1.561101384,0.533641626,1.069891237,0.038714433,0.15130547,0.405040349,2.541208791,0.531871119,0.027788417,0.328844936,0.480635476
6,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6,India,Day 0/28,Live SARS-CoV-2 virus,MNT 50,36.4,18.4,72.1,50,6,1,Dec-65,adult,56,prime,190,GMT/CI,160.1,135.8,188.8,Table S2,2.204391332,1.561101384,0.503195913,1.069891237,0.036505668,0.15130547,0.643289948,4.398351648,0.503421902,0.02556252,0.570797954,0.714606762
7,Xia et al. 2020,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan Province, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,2.5,0.5,18-59,adult,42,prime,24,GMT/CI,89,49,164,eTable 5,1.949390007,2.33405144,0.655673126,1.196195966,0.133838716,0.169167656,-0.384661434,0.412418906,0.648962784,0.095300687,-0.638658899,-0.127164333
7,Xia et al. 2020,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan Province, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,18-59,adult,42,prime,24,GMT/CI,129,68,243,eTable 5,2.11058971,2.33405144,0.69122771,1.196195966,0.141096266,0.169167656,-0.22346173,0.597775718,0.681293622,0.09856079,-0.489232557,0.040672493
7,Xia et al. 2020,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan Province, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,10,2,18-59,adult,42,prime,24,GMT/CI,101,59,172,eTable 5,2.004321374,2.33405144,0.580724572,1.196195966,0.118539907,0.169167656,-0.329730067,0.46802595,0.578931047,0.085195871,-0.564832613,-0.096794497
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,3,1,18-59,adult,28,prime,24,GMT/CI,5.6,3.6,8.7,Appendix 6 Table 6-1,0.748188027,2.214048679,0.478921175,0.580598178,0.097759375,0.053676321,-1.465860652,0.034208919,0.474858201,0.071499316,-1.657056647,-1.279293962
