study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,3 + CpG/Alum,0.1,55-75,elderly,35,prime,8,GMT/CI,123,54.8,280.3,Figure 5 (95% CI from Bingyi's data),2.089905111,2.855519156,0.511456496,1.2332004,0.180827178,0.26910639,-0.765614044,0.171548117,0.494011836,0.136439076,-1.120938796,-0.415119903
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,9 + CpG/Alum,0.3,18-54,adult,35,prime,8,GMT/CI,494,124.5,1953.9,Figure 5 (95% CI from Bingyi's data),2.693726949,2.855519156,0.862766224,1.2332004,0.305033924,0.26910639,-0.161792207,0.688981869,0.838176754,0.229589878,-0.758991816,0.427177811
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,9 + CpG/Alum,0.3,55-75,elderly,35,prime,7,GMT/CI,263,61.5,1105,Figure 5 (95% CI from Bingyi's data),2.419955748,2.855519156,0.846699249,1.2332004,0.320022235,0.26910639,-0.435563407,0.366806137,0.811065368,0.236722429,-1.064370882,0.183764419
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,30 + CpG/Alum,1,55-75,elderly,35,prime,8,GMT/CI,190,55.8,649.5,Figure 5 (95% CI from Bingyi's data),2.278753601,2.855519156,0.769119293,1.2332004,0.271924734,0.26910639,-0.576765555,0.264993026,0.745466321,0.195507211,-1.089537777,-0.047137985
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,3 + CpG/Alum,0.1,18-54,adult,49,prime,8,GMT/CI,207,71.1,595.4,Figure 5 (95% CI from Bingyi's data),2.315970345,2.855519156,0.665935294,1.2332004,0.235443681,0.26910639,-0.53954881,0.288702929,0.643924394,0.175671846,-1.011348266,-0.068614635
16,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 ¦Ìg + CpG/Alum,"Perth, WA, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,717,213,2417,21,30 + CpG/Alum,1,18-54,adult,49,prime,7,GMT/CI,1159,396.8,3389,Figure 5 (95% CI from Bingyi's data),3.064083436,2.855519156,0.628703341,1.2332004,0.237627527,0.26910639,0.20856428,1.616457462,0.598760343,0.176186782,-0.264304997,0.67577657
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AF03,Protein subunit,ug,1.3 + AF03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"1.3, AF03",1,18-49,adult,21,prime,24,GMT/CI,13.1,6.4,26.9,"Results, Figure 4A",1.117271296,1.859738566,0.779303045,3.020957988,0.159074568,0.313258751,-0.742467271,0.180939227,0.77257792,0.109160818,-1.057104797,-0.433691695
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AF03,Protein subunit,ug,1.3 + AF03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"1.3, AF03",1,>=50,elderly,21,prime,10,GMT/CI,8.6,1.9,39,"Results, Figure 4A",0.934498451,1.859738566,1.058645862,3.020957988,0.334773216,0.313258751,-0.925240115,0.11878453,1.028177454,0.249478037,-1.589787113,-0.245176093
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AF03,Protein subunit,ug,1.3 + AF03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"2.6, AF03",2,18-49,adult,21,prime,24,GMT/CI,43.2,20.6,90.4,"Results, Figure 4A",1.635483747,1.859738566,0.802709299,3.020957988,0.16385235,0.313258751,-0.224254819,0.596685083,0.793800265,0.116398592,-0.535944647,0.083673346
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AF03,Protein subunit,ug,1.3 + AF03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"2.6, AF03",2,>=50,elderly,21,prime,10,GMT/CI,12.3,4.4,35,"Results, Figure 4A",1.089905111,1.859738566,0.726529556,3.020957988,0.229748818,0.313258751,-0.769833455,0.169889503,0.707410471,0.171043508,-1.213075989,-0.314397306
