"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"3 + CpG/Alum",0.1,"18-54","adult","0","prime",8,"GMT/CI",10,10,10,"Figure 5 (95% CI from Bingyi's data)",1,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.8555191556678,0.0139470013947001,0.194986103776393,0.312142416183702,0.4320242104144,0.118415885293332,-2.46731829138786,-1.24372001994774
"2",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"3 + CpG/Alum",0.1,"55-75","elderly","0","prime",8,"GMT/CI",11,11,11,"Figure 5 (95% CI from Bingyi's data)",1.04139268515823,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.81412647050957,0.0153417015341702,0.194986103776393,0.312142416183702,0.431874159721906,0.114300850056132,-2.42592560622963,-1.20232733478952
"3",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"9 + CpG/Alum",0.3,"18-54","adult","0","prime",8,"GMT/CI",10,10,10,"Figure 5 (95% CI from Bingyi's data)",1,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.8555191556678,0.0139470013947001,0.194986103776393,0.312142416183702,0.427244357586561,0.1175621834974,-2.46731829138786,-1.24372001994774
"4",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"9 + CpG/Alum",0.3,"55-75","elderly","0","prime",8,"GMT/CI",10,10,10,"Figure 5 (95% CI from Bingyi's data)",1,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.8555191556678,0.0139470013947001,0.194986103776393,0.312142416183702,0.431049427710091,0.118343564068068,-2.46731829138786,-1.24372001994774
"5",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"30 + CpG/Alum",1,"18-54","adult","0","prime",8,"GMT/CI",11,11,11,"Figure 5 (95% CI from Bingyi's data)",1.04139268515823,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.81412647050957,0.0153417015341702,0.194986103776393,0.312142416183702,0.43264345055655,0.116549284434255,-2.42592560622963,-1.20232733478952
"6",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"30 + CpG/Alum",1,"55-75","elderly","0","prime",8,"GMT/CI",10,10,10,"Figure 5 (95% CI from Bingyi's data)",1,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.8555191556678,0.0139470013947001,0.194986103776393,0.312142416183702,0.42726419566528,0.11935728208022,-2.46731829138786,-1.24372001994774
"7",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"3 + CpG/Alum",0.1,"18-54","adult","21","prime",8,"GMT/CI",12,12,12,"Figure 5 (95% CI from Bingyi's data)",1.07918124604762,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.77633790962018,0.0167364016736402,0.194986103776393,0.312142416183702,0.434109230142082,0.114877171790074,-2.38813704534023,-1.16453877390012
"8",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"3 + CpG/Alum",0.1,"55-75","elderly","21","prime",8,"GMT/CI",11,11,11,"Figure 5 (95% CI from Bingyi's data)",1.04139268515823,2.8555191556678,0.44734451237116,1.23320040003072,0.158160169112118,0.269106389532886,-1.81412647050957,0.0153417015341702,0.194986103776393,0.312142416183702,0.431360264757444,0.117870496273185,-2.42592560622963,-1.20232733478952
"9",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"9 + CpG/Alum",0.3,"18-54","adult","21","prime",8,"GMT/CI",26,10.9,62.1,"Figure 5 (95% CI from Bingyi's data)",1.41497334797082,2.8555191556678,0.545240732752113,1.23320040003072,0.192771709754071,0.269106389532886,-1.44054580769698,0.0362622036262204,0.194986103776393,0.331027462560031,0.527083446099516,0.144250204434654,-2.08935963431464,-0.791731981079321
"10",16,"Richmond et al. 2021","NCT04405908","SCB-2019","Protein subunit","ug","30 ug + CpG/Alum","Perth, WA, Australia","Day 0/21","Live SARS-CoV-2 virus","MNT 50",717,213,2417,21,"9 + CpG/Alum",0.3,"55-75","elderly","21","prime",7,"GMT/CI",10,10,10,"Figure 5 (95% CI from Bingyi's data)",1,2.8555191556678,0.44734451237116,1.23320040003072,0.169080332871935,0.269106389532886,-1.8555191556678,0.0139470013947001,0.194986103776393,0.317815052902643,0.427519789643839,0.124728873095884,-2.47843665935698,-1.23260165197862
