"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"3.75 + AS03",1,"18-55","adult","0","prime",20,"GMT/CI",5,5,5,"Table S12",0.698970004336019,2.30059548388996,0.44734451237116,0.793885738322971,0.100029273902341,0.13419118190239,-1.60162547955394,0.025025025025025,0.0962727868757962,0.167371230914365,0.44133145065768,0.0709976947833086,-1.9296730921461,-1.27357786696179
"2",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"7.5 + AS03",2,"18-55","adult","0","prime",20,"GMT/CI",5,5,5,"Table S12",0.698970004336019,2.30059548388996,0.44734451237116,0.793885738322971,0.100029273902341,0.13419118190239,-1.60162547955394,0.025025025025025,0.0962727868757962,0.167371230914365,0.443447372555652,0.071723004938807,-1.9296730921461,-1.27357786696179
"3",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"15 + AS03",4,"18-55","adult","0","prime",20,"GMT/CI",5,5,5,"Table S12",0.698970004336019,2.30059548388996,0.44734451237116,0.793885738322971,0.100029273902341,0.13419118190239,-1.60162547955394,0.025025025025025,0.0962727868757962,0.167371230914365,0.442074454735663,0.0733112547383348,-1.9296730921461,-1.27357786696179
"4",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Live SARS-CoV-2 virus","PRNT 50",58.3,35.1,96.8,35,"3.75 + AS03",1,"18-55","adult","0","prime",20,"GMT/CI",5,5,5,"Table S13",0.698970004336019,1.76566855475901,0.44734451237116,0.66490736293992,0.100029273902341,0.112389857357798,-1.066698550423,0.0857632933104631,0.0806318614309467,0.150457089146161,0.439766120713048,0.069111644255568,-1.36159444514947,-0.77180265569652
"5",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Live SARS-CoV-2 virus","PRNT 50",58.3,35.1,96.8,35,"7.5 + AS03",2,"18-55","adult","0","prime",20,"GMT/CI",5.4,4.9,5.9,"Table S13",0.732393759822969,1.76566855475901,0.0920164009574756,0.66490736293992,0.0205754927585792,0.112389857357798,-1.03327479493605,0.0926243567753002,0.0806318614309467,0.114257739077774,0.0906207150644506,0.0150940888411453,-1.25721996352848,-0.809329626343609
"6",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Live SARS-CoV-2 virus","PRNT 50",58.3,35.1,96.8,35,"15 + AS03",4,"18-55","adult","0","prime",20,"GMT/CI",5.4,4.6,6.2,"Table S13",0.732393759822969,1.76566855475901,0.147892917481448,0.66490736293992,0.0330698616879285,0.112389857357798,-1.03327479493605,0.0926243567753002,0.0806318614309467,0.117154153955227,0.14576701479372,0.0237090802828169,-1.26289693668829,-0.803652653183801
"7",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"3.75 + AS03",1,"18-55","adult","21","prime",20,"GMT/CI",41.6,27,64.1,"Table S12",1.61909333062674,2.30059548388996,0.428383011482615,0.793885738322971,0.0957893534081199,0.13419118190239,-0.681502153263221,0.208208208208208,0.0962727868757962,0.164872294600111,0.423895409563725,0.067658578650694,-1.00465185067944,-0.358352455847002
"8",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"7.5 + AS03",2,"18-55","adult","21","prime",19,"GMT/CI",37.8,24.3,58.9,"Table S12",1.57749179983723,2.30059548388996,0.427560195469815,0.793885738322971,0.0980890360175484,0.13419118190239,-0.723103684052738,0.189189189189189,0.0962727868757962,0.166218928787344,0.421107967462707,0.0698381356662252,-1.04889278447593,-0.397314583629544
"9",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Pseudo virus","PsVNA IC50",199.8,108.5,364.3,35,"15 + AS03",4,"18-55","adult","21","prime",20,"GMT/CI",23.6,15.3,36.4,"Table S12",1.37291200297011,2.30059548388996,0.429427674458483,0.793885738322971,0.0960229471508819,0.13419118190239,-0.927683480919857,0.118118118118118,0.0962727868757962,0.165008120042322,0.421669487897534,0.0691686788276663,-1.25109939620281,-0.604267565636906
"10",19,"Ward et al. 2021","NCT04450004","CoVLP","Virus-like particle","Virus-like particle","3.75 ug + AS03","Quebec, Canada","Day 0/21","Live SARS-CoV-2 virus","PRNT 50",58.3,35.1,96.8,35,"3.75 + AS03",1,"18-55","adult","21","prime",20,"GMT/CI",29.3,17.3,49.7,"Table S13",1.46686762035411,1.76566855475901,0.522863751734228,0.66490736293992,0.116915889184831,0.112389857357798,-0.298800934404905,0.502572898799314,0.0806318614309467,0.16217522986198,0.519592559992949,0.083953977405569,-0.616664384934384,0.0190625161245753
