"","study_id","study","ClinicalTrials","vaccine","vaccine_type","dose_unit","standard_dosage","location","vaccination_schedule","against_strain","assay","conv","conv_lower","conv_upper","conv_N","dosage_tested","dose_frac","age","age_group","measured_day","schedule_type","N","nab_measurement","nab","nab_lower","nab_upper","derived_from","logTiter_vaccine","logTiter_conv","sd_vaccine","sd_conv","se_vaccine","se_conv","log_ratio_to_conv","ratio_to_conv","se_sd_conv","se_log_ratio_to_conv","mean_sd_vaccine","se_sd_vaccine","log_ratio_lower","log_ratio_upper"
"1",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,"18-55","adult","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.44675367445927,0.0366844572333671,-1.21205682289735,-0.696428195981297
"2",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,">=65","elderly","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.445515364648811,0.0380133728133969,-1.21205682289735,-0.696428195981297
"3",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"10",2,"18-55","adult","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.446494809591945,0.0364330060982576,-1.21205682289735,-0.696428195981297
"4",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"10",2,">=65","elderly","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.446698126959015,0.0367894153793738,-1.21205682289735,-0.696428195981297
"5",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0/56","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,"18-55","adult","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.44698774369795,0.0369962747928755,-1.21205682289735,-0.696428195981297
"6",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0/56","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"10",2,"18-55","adult","0","prime",75,"GMT/CI",58,NA,58,"Figure 2B, Results",1.76342799356294,2.71767050300226,0.44734451237116,0.684315597843092,0.0516548949275982,0.120971049926644,-0.954242509439325,0.111111111111111,0.086908167834284,0.131537915029606,0.445735170538249,0.0369231517170884,-1.21205682289735,-0.696428195981297
"7",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,">=65","elderly","14","prime",75,"GMT/CI",212,137,284,"Figure 2B, Results",2.32633586092875,2.71767050300226,0.69944314822669,0.684315597843092,0.0807647379823038,0.120971049926644,-0.391334642073511,0.406130268199234,0.086908167834284,0.145454246489076,0.697073332287484,0.0566585798029404,-0.6764249651921,-0.106244318954922
"8",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"10",2,">=65","elderly","14","prime",75,"GMT/CI",172,119,269,"Figure 2B, Results",2.23552844690755,2.71767050300226,0.782527561407436,0.684315597843092,0.0903584996453769,0.120971049926644,-0.482142056094713,0.329501915708812,0.086908167834284,0.150992229530258,0.779579239711871,0.0622508005069142,-0.77808682597402,-0.186197286215407
"9",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,"18-55","adult","28","prime",75,"GMT/CI",224,158,318,"Figure 2B, Results",2.35024801833416,2.71767050300226,0.671103483450068,0.684315597843092,0.0774923553647985,0.120971049926644,-0.367422484668099,0.42911877394636,0.086908167834284,0.143663008670774,0.669593076143028,0.0547682105736421,-0.649001981662816,-0.0858429876733826
"10",11,"Sadoff et al. 2021","NCT04436276","Ad26.COV2.S","Non-replicating viral vector","10^10 viral particle","5","Belgium and the United States","Day 0","Live SARS-CoV-2 virus","MNT 50",522,299,891,32,"5",1,">=65","elderly","28","prime",75,"GMT/CI",277,193,307,"Figure 2B, Results",2.44247976906445,2.71767050300226,0.445342664501201,0.684315597843092,0.0514237414462787,0.120971049926644,-0.275190733937813,0.530651340996169,0.086908167834284,0.131447313037157,0.444165528152465,0.0373081997576479,-0.532827467490641,-0.0175540003849855
